,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
1469,38475,HYPE,-4.003882594663193,-0.025745292000000003,1068.6004864423903,0.0,1068.6004864423903,1.0,4.79,26.874,-82.61,26.038116368546305,close_unstuck_short
1470,38476,HYPE,-4.464447249405058,-0.025629100000000002,1064.1104100929851,0.0,1064.1104100929851,1.0,4.75,26.978,-77.86,26.038116368546305,close_unstuck_short
1471,38478,HYPE,0.0,-0.069028008,1064.0413820849851,0.0,1064.0413820849851,1.0,-12.82,26.922,-90.68,26.163076537880627,entry_trailing_cropped_short
1472,38479,HYPE,-3.6778772104458266,-0.025538172,1060.3379667025392,0.0,1060.3379667025392,1.0,4.74,26.939,-85.94,26.163076537880627,close_unstuck_short
1473,38481,HYPE,0.0,-0.023128392,1060.3148383105392,0.0,1060.3148383105392,1.0,-4.26,27.146,-90.2,26.209498422011762,entry_trailing_cropped_short
1474,38489,HYPE,-3.7373924323245995,-0.025436826,1056.5520090522145,0.0,1056.5520090522145,1.0,4.71,27.003,-85.49,26.209498422011762,close_unstuck_short
1475,38490,HYPE,-3.73090240076483,-0.025330690000000003,1052.7957759614496,0.0,1052.7957759614496,1.0,4.69,27.005,-80.8,26.209498422011762,close_unstuck_short
1476,38491,HYPE,-3.5872273849849474,-0.025249536,1049.1832990404646,0.0,1049.1832990404646,1.0,4.68,26.976,-76.12,26.209498422011762,close_unstuck_short
1477,38493,HYPE,0.0,-0.068790904,1049.1145081364646,0.0,1049.1145081364646,1.0,-12.74,26.998,-88.86,26.322547151514016,entry_trailing_cropped_short
1478,38494,HYPE,-3.212850273944689,-0.025175184000000003,1045.8764826785198,0.0,1045.8764826785198,1.0,4.66,27.012,-84.2,26.322547151514016,close_unstuck_short
1479,38495,HYPE,-3.208341216974964,-0.025068992,1042.643072469545,0.0,1042.643072469545,1.0,4.64,27.014,-79.56,26.322547151514016,close_unstuck_short
1480,38496,HYPE,-3.1829066884901147,-0.025011260000000004,1039.4351545210548,0.0,1039.4351545210548,1.0,4.63,27.01,-74.93,26.322547151514016,close_unstuck_short
1481,38505,HYPE,0.0,-0.069027868,1039.3661266530548,0.0,1039.3661266530548,1.0,-12.74,27.091,-87.67,26.434216927831017,entry_trailing_cropped_short
1482,38507,HYPE,-2.77421996269902,-0.024927192000000004,1036.5669794983557,0.0,1036.5669794983557,1.0,4.61,27.036,-83.06,26.434216927831017,close_unstuck_short
1483,38511,HYPE,-2.80040213197732,-0.02487956,1033.7416978063784,0.0,1033.7416978063784,1.0,4.6,27.043,-78.46,26.434216927831017,close_unstuck_short
