,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
4330,133583,HYPE,0.0,-0.01773672,3792.7045091960026,0.0,3792.7045091960026,1.0,-8.43,10.52,-8.43,10.52,entry_initial_normal_short
4331,133609,HYPE,1.18863,-0.017498994,3793.8756402020026,0.0,3793.8756402020026,1.0,8.43,10.379,0.0,10.52,close_grid_short
4332,133616,HYPE,0.0,-0.017753728000000003,3793.8578864740025,0.0,3793.8578864740025,1.0,-8.48,10.468,-8.48,10.468,entry_initial_normal_short
4333,133636,HYPE,0.0,-0.043724924,3793.8141615500026,0.0,3793.8141615500026,1.0,-20.59,10.618,-29.07,10.5742435500516,entry_grid_normal_short
4334,133641,HYPE,4.01874000000001,-0.06067490400000001,3797.7722266460028,0.0,3797.7722266460028,1.0,29.07,10.436,0.0,10.5742435500516,close_grid_short
4335,133642,HYPE,0.0,-0.017771754,3797.7544548920027,0.0,3797.7544548920027,1.0,-8.47,10.491,-8.47,10.491,entry_initial_normal_short
4336,133672,HYPE,0.0,-0.043777074,3797.7106778180028,0.0,3797.7106778180028,1.0,-20.57,10.641,-29.04,10.59725,entry_grid_normal_short
4337,133717,HYPE,4.014780000000032,-0.060745872,3801.6647119460026,0.0,3801.6647119460026,1.0,29.04,10.459,0.0,10.59725,close_grid_short
4338,133718,HYPE,0.0,-0.017773729999999998,3801.6469382160026,0.0,3801.6469382160026,1.0,-8.45,10.517,-8.45,10.517,entry_initial_normal_short
4339,133722,HYPE,0.0,-0.043781472,3801.6031567440027,0.0,3801.6031567440027,1.0,-20.52,10.668,-28.97,10.623956161546426,entry_grid_normal_short
4340,133740,HYPE,4.02555999999997,-0.06075008999999999,3805.5679666540027,0.0,3805.5679666540027,1.0,28.97,10.485,0.0,10.623956161546426,close_grid_short
4341,133741,HYPE,0.0,-0.0034259340000000003,3805.5645407200027,0.0,3805.5645407200027,1.0,1.63,10.509,139.26,11.513197544162,entry_grid_cropped_long
4342,133741,HYPE,0.0,-0.017802246000000004,3805.5467384740027,0.0,3805.5467384740027,1.0,-8.47,10.509,-8.47,10.509,entry_initial_normal_short
4343,133800,HYPE,1.1942700000000002,-0.017563392000000004,3806.723445082003,0.0,3806.723445082003,1.0,8.47,10.368,0.0,10.509,close_grid_short
